data,cotacao,y,x,raio,cor,id,tit,txt
19/06/2023,"4,7751",171.486,2,0.7,767676,dia-1,-,-
20/06/2023,"4,7953",168.658,3,0.7,767676,dia-2,-,-
21/06/2023,"4,7679",172.494,4,0.7,767676,dia-3,-,-
22/06/2023,"4,7717",171.962,5,0.7,767676,dia-4,-,-
23/06/2023,"4,7777",171.122,6,0.7,767676,dia-5,"<b><u>Dólar encerra semana a R$ 4,77, queda acumulada de 0,85%</u></b>","O dólar comercial fechou a sessão da sexta-feira, 23 de junho, em leve alta, em um dia marcado pela valorização global da moeda americana, em meio ao temor acerca do crescimento econômico global.<br><br> Terminadas as negociações, o dólar à vista fechou com apreciação de 0,13%, a R$ 4,7777, depois de ter atingido a mínima de R$ 4,7657 e a máxima de R$ 4,8071. Apesar do avanço no dia, naquela semana, o dólar fechou em queda de 0,85%."
26/06/2023,"4,7661",172.746,7,0.7,767676,dia-6,-,-
27/06/2023,"4,7986",168.196,8,0.7,767676,dia-7,-,-
28/06/2023,"4,8472",161.392,9,0.7,767676,dia-8,-,-
29/06/2023,"4,8466",161.476,10,0.7,767676,dia-9,-,-
30/06/2023,"4,7889",169.554,11,0.7,767676,dia-10,-,-
03/07/2023,"4,8078",166.908,12,0.7,767676,dia-11,-,-
04/07/2023,"4,84",162.400,13,0.7,767676,dia-12,-,-
05/07/2023,"4,8503",160.958,14,0.7,767676,dia-13,-,-
06/07/2023,"4,9298",149.828,15,0.7,767676,dia-14,"<b><u>Dólar fecha perto de R$ 4,93, maior cotação em um mês</u></b>","O dólar encerrou a sessão do dia 6 de julho em alta consistente, após dados do mercado de trabalho nos Estados Unidos apontarem para uma economia bastante resiliente (aos juros elevados), dando margem para o Federal Reserve (Fed) retomar seu aperto monetário.<br><br> Com esse vento desfavorável no exterior, nem mesmo uma possível melhora no ambiente doméstico, com algum encaminhamento das pautas econômicas, deu naquele dia alívio ao real, que ficou entre as moedas mais penalizadas do pregão. Terminadas as negociações, o dólar comercial fechou em alta de 1,64%, a R$ 4,9298, maior cotação em um mês, depois de ter atingido a máxima de R$ 4,9499 e tocado a mínima de R$ 4,8423."
07/07/2023,"4,8668",158.648,16,0.7,767676,dia-15,-,-
10/07/2023,"4,8819",156.534,17,0.7,767676,dia-16,-,-
11/07/2023,"4,8605",159.530,18,0.7,767676,dia-17,-,-
12/07/2023,"4,8186",165.396,19,0.7,767676,dia-18,-,-
13/07/2023,"4,7898",169.428,20,0.7,767676,dia-19,-,-
