data,cotacao,y,x,raio,cor,id,tit,txt
02/01/2023,"5,3581",46.151,2.00,0.5,767676,dia-1,-,-
03/01/2023,"5,4520",18.920,2.40,0.5,767676,dia-2,-,-
04/01/2023,"5,4523",18.833,2.80,0.5,767676,dia-3,-,-
05/01/2023,"5,3518",47.978,3.20,0.5,767676,dia-4,-,-
06/01/2023,"5,2357",81.647,3.60,0.5,767676,dia-5,"Dólar encerra semana a R$ 4,77, queda acumulada de 0,85%","O dólar comercial fechou a sessão da sexta-feira, 23 de junho, em leve alta, em um dia marcado pela valorização global da moeda americana, em meio ao temor acerca do crescimento econômico global.<br><br> Terminadas as negociações, o dólar à vista fechou com apreciação de 0,13%, a R$ 4,7777, depois de ter atingido a mínima de R$ 4,7657 e a máxima de R$ 4,8071. Apesar do avanço no dia, naquela semana, o dólar fechou em queda de 0,85%."
09/01/2023,"5,2570",75.470,4.00,0.5,767676,dia-6,-,-
10/01/2023,"5,2020",91.420,4.40,0.5,767676,dia-7,-,-
11/01/2023,"5,1807",97.597,4.80,0.5,767676,dia-8,-,-
12/01/2023,"5,0999",121.029,5.20,0.5,767676,dia-9,-,-
13/01/2023,"5,1064",119.144,5.60,0.5,767676,dia-10,-,-
16/01/2023,"5,1470",107.370,6.00,0.5,767676,dia-11,-,-
17/01/2023,"5,1055",119.405,6.40,0.5,767676,dia-12,-,-
18/01/2023,"5,1615",103.165,6.80,0.5,767676,dia-13,-,-
19/01/2023,"5,1702",100.642,7.20,0.5,767676,dia-14,"Dólar fecha perto de R$ 4,93, maior cotação em um mês","O dólar encerrou a sessão do dia 6 de julho em alta consistente, após dados do mercado de trabalho nos Estados Unidos apontarem para uma economia bastante resiliente (aos juros elevados), dando margem para o Federal Reserve (Fed) retomar seu aperto monetário.<br><br> Com esse vento desfavorável no exterior, nem mesmo uma possível melhora no ambiente doméstico, com algum encaminhamento das pautas econômicas, deu naquele dia alívio ao real, que ficou entre as moedas mais penalizadas do pregão. Terminadas as negociações, o dólar comercial fechou em alta de 1,64%, a R$ 4,9298, maior cotação em um mês, depois de ter atingido a máxima de R$ 4,9499 e tocado a mínima de R$ 4,8423."
20/01/2023,"5,2071",89.941,7.60,0.5,767676,dia-15,-,-
23/01/2023,"5,1964",93.044,8.00,0.5,767676,dia-16,-,-
24/01/2023,"5,1417",108.907,8.40,0.5,767676,dia-17,-,-
25/01/2023,"5,0788",127.148,8.80,0.5,767676,dia-18,-,-
26/01/2023,"5,0745",128.395,9.20,0.5,767676,dia-19,-,-
27/01/2023,"5,1110",117.810,9.60,0.5,767676,dia-20,-,-
30/01/2023,"5,1142",116.882,10.00,0.5,767676,dia-21,-,-
31/01/2023,"5,0732",128.772,10.40,0.5,767676,dia-22,-,-
01/02/2023,"5,0604",132.484,10.80,0.5,767676,dia-23,-,-
02/02/2023,"5,0444",137.124,11.20,0.5,767676,dia-24,-,-
03/02/2023,"5,1476",107.196,11.60,0.5,767676,dia-25,-,-
