nome_municipio,codigo_ibge,SG_UF,FEMININO,MASCULINO,NÃO DIVULGÁVEL,NÃO INFORMADO
ABADIA DE GOIÁS,5200050,GO,4,46,0,0
ABADIA DOS DOURADOS,3100104,MG,3,48,0,0
ABADIÂNIA,5200100,GO,7,48,0,0
ABAETETUBA,1500107,PA,7,68,0,0
ABAETÉ,3100203,MG,9,42,0,0
ABAIARA,2300101,CE,6,46,0,0
ABARÉ,2900207,BA,10,47,0,0
ABATIÁ,4100103,PR,5,45,0,0
ABAÍRA,2900108,BA,8,43,0,0
ABDON BATISTA,4200051,SC,4,48,0,0
ABEL FIGUEIREDO,1500131,PA,9,42,0,0
ABELARDO LUZ,4200101,SC,10,50,0,0
ABRE CAMPO,3100302,MG,0,51,0,0
ABREU E LIMA,2600054,PE,4,55,0,0
ABREULÂNDIA,1700251,TO,15,37,0,0
ACAIACA,3100401,MG,7,43,0,0
ACAJUTIBA,2900306,BA,1,51,0,0
ACARAPE,2300150,CE,6,46,0,0
ACARAÚ,2300200,CE,7,57,0,0
ACARI,2400109,RN,13,40,0,0
ACARÁ,1500206,PA,12,53,0,0
ACAUÃ,2200053,PI,11,41,0,0
ACEGUÁ,4300034,RS,10,40,0,0
ACOPIARA,2300309,CE,19,63,0,0
ACORIZAL,5100102,MT,7,44,0,0
ACRELÂNDIA,1200013,AC,5,44,0,0
ACREÚNA,5200134,GO,7,52,0,0
ADAMANTINA,3500105,SP,7,40,0,0
ADELÂNDIA,5200159,GO,9,42,0,0
ADOLFO,3500204,SP,6,43,0,0
ADRIANÓPOLIS,4100202,PR,2,49,0,0
ADUSTINA,2900355,BA,11,45,0,0
AFOGADOS DA INGAZEIRA,2600104,PE,5,58,0,0
AFONSO BEZERRA,2400307,RN,5,46,0,0
AFONSO CLÁUDIO,3200102,ES,5,50,0,0
AFONSO CUNHA,2100105,MA,8,44,0,0
AFRÂNIO,2600203,PE,11,47,0,0
AFUÁ,1500305,PA,16,44,0,0
AGRESTINA,2600302,PE,8,49,0,0
AGRICOLÂNDIA,2200103,PI,9,43,0,0
AGROLÂNDIA,4200200,SC,3,47,0,0
AGRONÔMICA,4200309,SC,3,48,0,0
AGUANIL,3100807,MG,1,49,0,0
AGUAÍ,3500303,SP,2,63,0,0
AGUDO,4300109,RS,2,49,0,0
AGUDOS,3500709,SP,7,60,0,0
AGUDOS DO SUL,4100301,PR,3,46,0,0
AGUIAR,2500205,PB,15,38,0,0
AGUIARNÓPOLIS,1700301,TO,6,46,0,0
AIMORÉS,3101102,MG,2,58,0,0
AIQUARA,2900603,BA,3,48,0,0
AIUABA,2300408,CE,12,50,0,0
AIURUOCA,3101201,MG,3,49,0,0
AJURICABA,4300208,RS,15,36,0,0
ALAGOA,3101300,MG,13,39,0,0
ALAGOA GRANDE,2500304,PB,7,54,0,0
ALAGOA NOVA,2500403,PB,8,54,0,0
ALAGOINHA,2500502,PB,9,45,0,0
ALAGOINHA,2600609,PE,6,46,0,0
ALAGOINHA DO PIAUÍ,2200251,PI,7,45,0,0
ALAGOINHAS,2900702,BA,11,70,0,0
ALAMBARI,3500758,SP,3,47,0,0
