regiao,ndf,ndp
Água Rasa,30,29036
Alto de Pinheiros,0,15573
Anhanguera,1116,29520
Aricanduva,304,28613
Artur Alvim,2558,34943
Barra Funda,70,6598
Bela Vista,0,34515
Belém,600,15986
Bom Retiro,375,13108
Brás,22,12243
Brasilândia,22793,90960
Butantã,259,19756
Cachoeirinha,9605,47968
Cambuci,0,14571
Campo Belo,2221,24302
Campo Grande,1454,38982
Campo Limpo,17009,78245
Cangaíba,4906,45572
Capão Redondo,21423,101490
Carrão,742,29533
Casa Verde,35,28717
Cidade Ademar,15625,96371
Cidade Dutra,5784,66530
Cidade Líder,2948,44803
Cidade Tiradentes,3223,78714
Consolação,0,29276
Cursino,2532,39789
Ermelino Matarazzo,3405,39627
Freguesia do Ó,1915,47714
Grajaú,17289,127839
Guaianases,1061,36294
Iguatemi,3456,48428
Ipiranga,1338,41148
Itaim Bibi,325,43425
Itaim Paulista,4688,76733
Itaquera,4146,68766
Jabaquara,13414,81698
Jaçanã,2546,30904
Jaguara,217,8128
Jaguaré,1655,20265
Jaraguá,9445,69291
Jardim Ângela,22454,115682
Jardim Helena,5248,42638
Jardim Paulista,0,43045
Jardim São Luís,21073,102524
José Bonifácio,592,47303
Lajeado,3993,56592
Lapa,130,25669
Liberdade,88,31317
Limão,2161,26197
Mandaqui,1188,38897
Marsilac,73,2755
Moema,0,39895
Moóca,50,29369
Morumbi,2687,18433
Parelheiros,4027,49628
Pari,130,6374
Parque do Carmo,3907,23878
Pedreira,9843,54446
Penha,2748,45009
Perdizes,0,48639
Perus,2975,28429
Pinheiros,22,29075
Pirituba,4001,59122
Ponte Rasa,1018,29782
Raposo Tavares,3934,35500
República,0,31097
Rio Pequeno,8513,41640
Sacomã,22240,94024
Santa Cecília,0,40585
Santana,96,41183
Santo Amaro,44,27656
São Domingos,3596,29692
São Lucas,2165,49908
São Mateus,3153,51593
São Miguel,825,28460
São Rafael,4869,52188
Sapopemba,18273,96104
Saúde,503,54026
Sé,0,11124
Socorro,769,12475
Tatuapé,355,36504
Tremembé,7661,71747
Tucuruvi,240,33953
Vila Andrade,20064,61371
Vila Curuçá,3376,50767
Vila Formosa,292,32426
Vila Guilherme,406,19553
Vila Jacuí,2348,49489
Vila Leopoldina,753,16978
Vila Maria,4992,38353
Vila Mariana,474,56389
Vila Matilde,225,36281
Vila Medeiros,1204,40465
Vila Prudente,1960,37428
Vila Sônia,9608,42246
